NCM;CEST;DÉBITO CRÉDITO / SUBSTITUIÇÃO TRIBUTÁRIA;PREVISÃO DE REDUÇÃO;LEGISLAÇÃO;CLASSIFICAÇÃO TRIBUTÁRIA;Créd. Outorgado / Cont. outra UF;Atacadistas (Op. Inter);Demais contribuintes (Op. Inter);4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%;4%;7%;12%
85365090;900400;Substituição Tributária;41,17%;Art. 53, Anexo V, RCIMS MT;Materiais elétricos;42,08;21,04;63,28;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-
85369040;1200400;Substituição Tributária;41,17%;Art. 53, Anexo V, RCIMS MT;Materiais elétricos;42,08;21,04;63,28;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-
85389010;1200500;Substituição Tributária;41,17%;Art. 53, Anexo V, RCIMS MT;Materiais elétricos;42,08;21,04;63,28;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-
85447010;1200700;Substituição Tributária;41,17%;Art. 53, Anexo V, RCIMS MT;Materiais elétricos;42,08;21,04;63,28;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-
85447090;1200700;Substituição Tributária;41,17%;Art. 53, Anexo V, RCIMS MT;Materiais elétricos;42,08;21,04;63,28;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-;-;-;-;-;-;-;42,08;42,08;42,08;42,08;42,08;42,08;-;-;-
9012100;0;D/C;NT;NT;;D/C;D/C;D/C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
29012900;#REF!;D/C;NT;NT;;D/C;D/C;D/C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
29034100;#REF!;D/C;NT;NT;; ;D/C;D/C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
29094419;#REF!;D/C;NT;NT;;D/C;D/C;D/C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
